,id,title,soup
0,19995,Avatar,cultureclash future spacewar samworthington zoesaldana sigourneyweaver jamescameron action adventure fantasy
1,285,Pirates of the Caribbean: At World's End,ocean drugabuse exoticisland johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action
2,206647,Spectre,spy basedonnovel secretagent danielcraig christophwaltz léaseydoux sammendes action adventure crime
3,49026,The Dark Knight Rises,dccomics crimefighter terrorist christianbale michaelcaine garyoldman christophernolan action crime drama
4,49529,John Carter,basedonnovel mars medallion taylorkitsch lynncollins samanthamorton andrewstanton action adventure sciencefiction
5,559,Spider-Man 3,dualidentity amnesia sandstorm tobeymaguire kirstendunst jamesfranco samraimi fantasy action adventure
6,38757,Tangled,hostage magic horse zacharylevi mandymoore donnamurphy byronhoward animation family
7,99861,Avengers: Age of Ultron,marvelcomic sequel superhero robertdowneyjr. chrishemsworth markruffalo josswhedon action adventure sciencefiction
8,767,Harry Potter and the Half-Blood Prince,witch magic broom danielradcliffe rupertgrint emmawatson davidyates adventure fantasy family
9,209112,Batman v Superman: Dawn of Justice,dccomics vigilante superhero benaffleck henrycavill galgadot zacksnyder action adventure fantasy
10,1452,Superman Returns,savingtheworld dccomics invulnerability brandonrouth kevinspacey katebosworth bryansinger adventure fantasy action
11,10764,Quantum of Solace,killing undercover secretagent danielcraig olgakurylenko mathieuamalric marcforster adventure action thriller
12,58,Pirates of the Caribbean: Dead Man's Chest,witch fortuneteller bondage johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action
13,57201,The Lone Ranger,texas horse survivor johnnydepp armiehammer williamfichtner goreverbinski action adventure western
14,49521,Man of Steel,savingtheworld dccomics superhero henrycavill amyadams michaelshannon zacksnyder action adventure fantasy
15,2454,The Chronicles of Narnia: Prince Caspian,basedonnovel fictionalplace brothersisterrelationship benbarnes williammoseley annapopplewell andrewadamson adventure family fantasy
16,24428,The Avengers,newyork shield marvelcomic robertdowneyjr. chrisevans markruffalo josswhedon sciencefiction action adventure
17,1865,Pirates of the Caribbean: On Stranger Tides,sea captain mutiny johnnydepp penélopecruz ianmcshane robmarshall adventure action fantasy
18,41154,Men in Black 3,timetravel timemachine alien willsmith tommyleejones joshbrolin barrysonnenfeld action comedy sciencefiction
19,122917,The Hobbit: The Battle of the Five Armies,corruption elves dwarves martinfreeman ianmckellen richardarmitage peterjackson action adventure fantasy
20,1930,The Amazing Spider-Man,lossoffather vigilante serum andrewgarfield emmastone rhysifans marcwebb action adventure fantasy
21,20662,Robin Hood,robinhood archer knight russellcrowe cateblanchett maxvonsydow ridleyscott action adventure
